CODIGO ANTERIOR,CODIGO GRUPO,CODIGO SUBGRUPO,CODIGO,EXISTENCIA,ultimo costo,ult pcio venta,ult. Precio compra,precio base
1020015,1,2,15,17.0000,2.3212,2.5997,2.5959,0.9
1020074,1,2,16,97.7110,13.3928,14.9999,15,3.71
1020157,1,2,17,0.0000,0.0000,0,0,0
1020189,1,2,18,0.0000,0.0000,0,0,0
1020159,1,2,19,0.0000,0.0000,0,0,0
1020162,1,2,20,0.0000,0.0000,0,0,0
1020161,1,2,21,0.0000,0.0000,0,0,0
1020187,1,2,22,0.0000,0.0000,0,0,0
1020164,1,2,23,0.0000,0.0000,0,0,0
1020158,1,2,24,0.0000,0.0000,0,0,0
1021113,1,2,25,0.0000,0.0000,0,0,0
1020019,1,2,26,76.5910,54.5714,61.12,61.12,11
1020136,1,2,27,79.4900,55.1785,61.7999,61.8,11
1020166,1,2,28,25.7900,25.8926,28.9997,29,8.75
1020081,1,2,29,120.4550,38.3928,43,43,10
1020025,1,2,30,17.0750,146.8656,164.4895,164.4944,42
1020027,1,2,31,14.0690,21.7137,24.3193,24.32,7.3
1020031,1,2,32,1069.3130,6.6964,7.5,7.5,1.9
1020190,1,2,33,0.0000,0.0000,0,0,0
1020096,1,2,34,415.6000,5.3303,5.97,5.8333,1.64
1020182,1,2,35,144.0320,12.1429,13.6,13.6,2.36
1020180,1,2,36,29.6000,10.3750,11.62,11.62,2.4
1020199,1,2,37,0.0000,0.0000,0,0,0
1020041,1,2,38,0.0000,0.0000,0,0,0
1020046,1,2,39,789.2790,6.0268,6.75,6.75,1.5
1020202,1,2,40,0.0000,0.0000,0,0,0
1020053,1,2,41,506.8710,13.4018,15.01,15,3.78
1020054,1,2,42,1503.1740,4.3304,4.85,4.85,1.12
1020129,1,2,43,0.1800,14.2778,15.9911,16,15.5
1020055,1,2,44,27.9500,7.8569,8.7997,8.8,0.65
1020085,1,2,45,904.5100,7.7411,8.67,9.0013,2.3
1020052,1,2,46,394.1000,6.6964,7.5,7.5,1.7
1020191,1,2,47,0.0000,0.0000,0,0,0
1020084,1,2,48,170.3570,83.9910,94.07,94.7805,22
1020170,1,2,49,1.1110,36.3636,40.7273,40.7282,36.36
1020058,1,2,50,262.6250,4.6696,5.23,5.2336,0.85
1020078,1,2,51,4048.1780,7.3036,8.18,8.1706,1.93
1020060,1,2,52,10.4000,16.8567,18.8795,18.75,4.4
1020195,1,2,53,0.0000,0.0000,0,0,0
1020062,1,2,54,267.5870,10.3482,11.59,11.5853,4.12
1020063,1,2,55,419.4291,17.3750,19.46,17.5782,4.5
1020069,1,2,56,176.3260,169.9732,190.37,190.3664,86
1020093,1,2,57,56.0380,134.0357,150.1199,150.1176,77
1020204,1,2,58,21.2500,0.7496,0.8396,0.8421,0.11
1020203,1,2,59,104.6250,7.9821,8.94,8.9389,1.75
1030164,1,3,1,196.0000,17.5982,19.71,19.71,17.6
1030092,1,3,2,2.3000,69.5087,77.8497,77.8453,69.51
1030003,1,3,3,7.7000,63.1597,70.7389,70.735,63.16
1030012,1,3,4,5.5850,17.4002,19.4882,19.491,17.4
1030090,1,3,5,0.3700,125.0000,140,140,125
1030008,1,3,6,2000.0000,5.2679,5.9,6.1074,5.27
10300331,1,3,7,20.0000,32.1425,35.9996,36,32.15
1030230,1,3,8,275.0000,211.9911,237.43,237.4282,212
1030231,1,3,9,100.0000,211.9910,237.4299,237.4282,212
1030021,1,3,10,133.1650,148.9642,166.8399,166.84,148.97
1030251,1,3,11,25.0000,223.9552,250.8298,250.83,223.96
1030187,1,3,12,1850.0000,4.2679,4.78,4.7757,4.27
1030144,1,3,13,5.3400,10.4906,11.7495,11.75,10.5
1030121,1,3,14,50.0000,10.1964,11.42,11.42,10.2
1030074,1,3,15,56.3200,14.7321,16.4999,16.5,14.74
1030075,1,3,16,194.3970,19.3214,21.64,21.64,19.33
1030321,1,3,17,29.8300,262.7586,294.2897,294.2918,262.76
1030033,1,3,18,1.3300,10.1203,11.3347,11.34,10.12
1030034,1,3,19,3.8900,140.3033,157.1397,157.14,140.31
1030270,1,3,20,98.0000,100.7589,112.8499,112.85,100.76
1030023,1,3,21,37.4000,91.4463,102.4198,102.42,91.45
1030139,1,3,22,39.0000,18.0982,20.27,20.27,18.1
1030176,1,3,23,40.0000,2.9195,3.2698,3.27,2.92
1030291,1,3,24,50.0000,43.7500,49,49,43.75
1030287,1,3,25,50.0000,90.0088,100.8099,100.8068,90.01
1030044,1,3,26,49.8830,34.8748,39.0598,39.06,34.88
1030207,1,3,27,80.0000,5.6250,6.3,6.3,5.63
1030206,1,3,28,1612.5000,5.3125,5.95,8,5.32
1030152,1,3,29,114.0150,41.9018,46.93,46.93,41.91
1030295,1,3,30,21.7940,296.5087,332.0897,332.09,296.51
1030294,1,3,31,1.9000,324.6421,363.5992,363.6,324.65
1030370,1,3,32,200.0000,298.9107,334.78,334.7781,298.92
1030355,1,3,33,22.1750,104.0000,116.48,116.4815,104
1030245,1,3,34,121.2350,574.3839,643.3099,643.3103,574.39
1030283,1,3,35,24.9750,100.1874,112.2099,112.21,100.19
1030305,1,3,36,3.8920,1074.8279,1203.8072,1203.8114,1074.83
1030053,1,3,37,49.7240,86.6606,97.0598,97.064,86.67
1030250,1,3,38,8.7000,42.8563,47.9991,48,42.86
1030096,1,3,39,152.0000,1.7857,1.9999,2,1.79
1030056,1,3,40,15.6333,23.6514,26.4896,26.486,23.66
1030134,1,3,41,3.4000,32.1412,35.9981,36,32.15
1030191,1,3,42,15.8520,288.9282,323.5996,323.5977,288.93
1030289,1,3,43,641.8700,162.5625,182.07,150,162.57
1030064,1,3,44,35.2000,26.6338,29.8299,29.8256,26.64
1030277,1,3,45,2.7650,22.3183,24.9965,25,22.32
1030220,1,3,46,960.0000,79.4464,88.98,85.624,79.45
1030290,1,3,47,180.0000,95.5268,106.99,106.9936,95.53
1030201,1,3,48,94.3800,84.4018,94.53,94.53,84.41
1030331,1,3,49,0.5200,258.8846,289.9508,289.9611,258.89
1030299,1,3,50,133.7000,82.5357,92.44,92.4424,82.54
1030248,1,3,51,0.4701,108.2323,121.2202,121.23,108.26
1030371,1,3,52,49.8500,658.1695,737.1498,737.1493,658.17
1030154,1,3,53,16.5300,17.6068,19.7196,19.72,17.61
1030307,1,3,54,50.0000,30.3482,33.99,33.99,30.35
1030189,1,3,55,39.2010,16.2766,18.2298,20.4,16.28
1030275,1,3,56,20.2750,128.1785,143.56,143.56,128.18
1030214,1,3,57,195.3750,160.3750,179.62,190.8164,160.38
1030188,1,3,58,1.6010,74.2224,83.129,83.13,74.23
1030098,1,3,59,5.0000,17.8560,19.9987,20,17.86
1030161,1,3,60,40.1040,19.6427,21.9998,22,19.65
1030101,1,3,61,219.5620,19.6161,21.97,21.97,19.62
1030257,1,3,62,25.6960,25.7141,28.7998,28.8,25.72
1030225,1,3,63,18.0000,123.4728,138.2895,138.29,123.48
1030268,1,3,64,98.0750,265.2500,297.08,297.0811,265.25
1030271,1,3,65,0.9420,106.6242,119.4191,119.42,106.63
1030310,1,3,66,47.1000,89.6605,100.4198,100.42,89.66
1030200,1,3,67,84.0521,12.3571,13.8399,13.84,12.36
1030180,1,3,68,16.4500,643.1155,720.2894,720.29,643.12
1030079,1,3,69,17.8200,37.7587,42.2897,42.293,37.76
1030109,1,3,70,22.8500,15.8928,17.7999,17.8,15.9
1030058,1,3,71,50.0000,2.4552,2.7498,2.75,2.46
1030591,1,3,72,283.1300,2.1071,2.36,2.36,2.11
1030181,1,3,73,93.8010,125.7857,140.8799,160.3042,125.79
1030343,1,3,74,46.8450,168.4999,188.7199,188.7167,168.5
1030130,1,3,75,123.8850,31.9106,35.7399,35.74,31.92
1030115,1,3,76,5.5030,104.8392,117.4199,117.42,104.84
1030118,1,3,77,46.0000,118.1070,132.2798,132.2806,118.11
1030379,1,3,78,0.1500,488.8667,547.5307,547.5928,488.87
1030199,1,3,79,15.2620,370.5530,415.0194,415.02,370.56
1030386,1,3,80,199.9750,18.7053,20.95,20.9505,18.71
